T_report,model_T,n_buffer,terminal_rule,t,model_t,periods_to_report_end,e_W_over_e_US,Y_W_over_Y_US,Q_W_over_e_US,zeta,abs_zeta_gap,Lambda_u,Lambda_b,Lambda_u_over_Lambda_b,phi_US,hkt_scalar_phi_US_same_state,abs_log_phi_US_vs_HKT_scalar,phi_W,q_US,q_W,residual_norm
30,29,0,local_loglinear,1,0,29,1.8905489305118306,1.9413556198342408,0.9038178660077935,0.8825268256025048,0.11747317439749516,,,,0.9932766422755183,0.9337836851161863,0.061764406780686135,0.7466805409386618,1.0667190368697315,2.3249284524801364,9.444954717907831e-12
30,29,0,local_loglinear,2,1,28,1.9730369965815278,2.0276623268270644,0.9344461533419904,0.8969721907464306,0.10302780925356936,1.0410485222195913,1.0940509703533396,0.9515539498889797,0.9850947192320787,0.9334988401525799,0.053798077696574825,0.750253589602985,1.083364371299011,2.3054292629678668,1.0337757456800832e-9
30,29,0,local_loglinear,3,2,27,2.051702867258132,2.110129678780688,0.9637229365529928,0.9105977686669502,0.08940223133304981,1.0419289427183027,1.096424269484925,0.9502972268278748,0.9771604547428103,0.9328681467363176,0.04638700160438913,0.7534054885661245,1.10050617573145,2.2884313376320096,1.1128440389470764e-11
30,29,0,local_loglinear,4,3,26,2.126174026037522,2.188356539664401,0.9915254772824805,0.9233037039377787,0.07669629606222128,1.0427915173281632,1.0987247394364401,0.9490925978994827,0.9695114709625504,0.9319032261304545,0.03956333177575462,0.7561709199883961,1.1180545029724822,2.2736719496259354,8.270892818756261e-10
30,29,0,local_loglinear,5,4,25,2.196164190831236,2.262029823537337,1.01775798962433,0.9350165022328139,0.06498349776718615,1.0436295525569184,1.101031987877902,0.9478648795375877,0.9621723309417423,0.9306175157916621,0.03334521154070946,0.7585831856939277,1.1359354436448321,2.260913731007415,9.838129220639274e-12
30,29,0,local_loglinear,6,5,24,2.2614673298440646,2.3309189243458075,1.042350532179529,0.9456855065393132,0.05431449346068684,1.0444387180030943,1.103404488672037,0.9465601497235987,0.9551573234048734,0.9290256677546951,0.027739695585295827,0.7606735474154225,1.1540886322725397,2.2499446748777023,5.682049252982957e-11
30,29,0,local_loglinear,7,6,23,2.3219506375199512,2.3948690328421343,1.065257221198012,0.9552798427877041,0.04472015721229594,1.045216242404463,1.1058860590689237,0.9451391794236558,0.9484726569064315,0.9271430686002351,0.022745072521321373,0.7624709205032096,1.1724653386413668,2.240576762030441,9.714246345858652e-10
30,29,0,local_loglinear,8,7,22,2.377546816451963,2.453793661750894,1.086453993967009,0.9637856695346951,0.03621433046530487,1.0459604020390112,1.108510140541346,0.9435731472228226,0.9421182211139875,0.9249854571377998,0.018352751447243874,0.7640017838919609,1.191026930560612,2.23264395842543,1.2412151345979e-11
30,29,0,local_loglinear,9,8,21,2.4282460089677573,2.5076667130052157,1.1059361177611953,0.971203644211674,0.028796355788325956,1.0466702007008222,1.1113027184861686,0.9418407633579897,0.9360890216732748,0.9225686220287679,0.014548820409187618,0.7652902172039343,1.209743572421203,2.2260000113947087,6.384870623883154e-11
30,29,0,local_loglinear,10,9,20,2.474087694933606,2.556514410294899,1.123715585989107,0.9775466041917334,0.022453395808266552,1.0473451428501173,1.1142843339712056,0.9399262925266809,0.9303763437305916,0.9199081656514785,0.01131532985156232,0.7663580149181889,1.2285931182533951,2.2205162439638655,1.0202551814253778e-9
30,29,0,local_loglinear,11,10,19,2.515152803113967,2.600407352283261,1.1398185280008086,0.9828374330811602,0.017162566918839772,1.0479850961272155,1.1174714922381428,0.9378181934898799,0.9249687041356146,0.9170193225562462,0.008631360048788062,0.7672248381761576,1.2475601350861658,2.2160794864164233,1.3768943568158373e-11
30,29,0,local_loglinear,12,11,18,2.5515562383936516,2.6394529070935993,1.1542827110896337,0.9871071361765282,0.012892863823471767,1.048590182301545,1.1208776460806418,0.9355081582437983,0.9198526190229895,0.9139168232015074,0.006473896244768032,0.7679083863450198,1.2666350575290162,2.2125901767470935,6.626803281190713e-11
30,29,0,local_loglinear,13,12,17,2.583439955973103,2.673788092892989,1.167155206067399,0.9903931016945146,0.009606898305485445,1.0491607171742026,1.1245138970565591,0.9329904413990834,0.9150132284857179,0.910614794691982,0.004818552572913984,0.768424569965138,1.2858134312410658,2.2099606717353057,1.5407022435094814e-10
30,29,0,local_loglinear,14,13,16,2.6109666777026668,2.7035730595370158,1.1784902490462914,0.9927375665737788,0.0072624334262212376,1.0496971554989103,1.1283894732486055,0.9302613861478679,0.9104347939538332,0.9071266919410665,0.0036401581914465436,0.7687876804177628,1.3050952559321705,2.2081137483878805,6.648920674936035e-10
30,29,0,local_loglinear,15,14,15,2.634314290929124,2.7289852250812316,1.188347328456802,0.9941862646444016,0.005813735355598371,1.0502000625628996,1.132512076236549,0.9273190852435053,0.9061010971120671,0.9034652533394745,0.002913234583657054,0.7690105485191588,1.3244843998766722,2.206981299501425,1.2109744659572407e-11
30,29,0,local_loglinear,16,15,14,2.6536709461187935,2.7502140989431947,1.1967895037070801,0.9947872611267694,0.0052127388732305935,1.0506700870234789,1.1368881238995052,0.9241631299830101,0.9019957524230409,0.8996424762381396,0.0026123752102867326,0.7691046911237845,1.3439880917721712,2.2065031989526647,5.5853017554332266e-11
