T_report,model_T,n_buffer,terminal_rule,t,model_t,periods_to_report_end,e_W_over_e_US,Y_W_over_Y_US,Q_W_over_e_US,zeta,abs_zeta_gap,Lambda_u,Lambda_b,Lambda_u_over_Lambda_b,phi_US,hkt_scalar_phi_US_same_state,abs_log_phi_US_vs_HKT_scalar,phi_W,q_US,q_W,residual_norm
30,29,0,local_loglinear,23,22,7,2.693716739823623,2.798356134237893,1.2217427125852467,0.9793912667171778,0.0206087332828222,1.0531057613295427,1.1749505629741233,0.8962979333052467,0.8783312611685354,0.8692185293705681,0.010429247219006926,0.766906167171439,1.4848510798077637,2.2177090285775547,1.047723892964878e-9
30,29,0,local_loglinear,24,23,6,2.6880367259471574,2.79319318076788,1.2211811847014469,0.9749577041992128,0.025042295800787207,1.0533417030127092,1.1814745375357822,0.8915483741271975,0.8755015178383704,0.8644496941015285,0.012703772720281531,0.7662654856600145,1.505811861470913,2.220990633622381,1.8536879728871634e-11
30,29,0,local_loglinear,25,24,5,2.6800161480595417,2.7855514666975454,1.2197587265676846,0.9700961842766068,0.02990381572339318,1.0535517195531585,1.1882726162139639,0.886624588648648,0.8727701609222503,0.8595956758199024,0.015210111873941862,0.7655586862619234,1.527048890670147,2.224619355281167,8.690747475940356e-11
30,29,0,local_loglinear,26,25,4,2.6698034400802646,2.775586953996362,1.217524118708329,0.9648467757763792,0.03515322422362077,1.0537358024547785,1.195345470595352,0.8815324342425931,0.8701249190555472,0.854661858611159,0.01793088275593424,0.7647898339234791,1.5485900259961614,2.2285767656354363,2.390314998480029e-10
30,29,0,local_loglinear,27,26,3,2.657537049779301,2.7634457350660746,1.2145216042326634,0.9592496423760242,0.04075035762397583,1.0538929980545728,1.2026947397321046,0.8762763843877153,0.8675530533535863,0.849653098171012,0.02084852017258157,0.7639628841862928,1.5704680772577977,2.232845011386421,5.450036871726535e-10
30,29,0,local_loglinear,28,27,2,2.6433444522159397,2.7492632565906647,1.2107894559829708,0.9533472397111759,0.04665276028882415,1.0540205389509008,1.2103242816440571,0.8708579633874324,0.8650402803682129,0.8445737140187739,0.02394405313440015,0.7630820331496971,1.5927247894717491,2.23740496609596,1.149729303829139e-9
30,29,0,local_loglinear,29,28,1,2.6273402991829578,2.733162930133438,1.2063572545856034,0.9471885132314735,0.05281148676852654,1.0541121793697514,1.2182425156610752,0.8652728548040708,0.8625687290691164,0.8394274425913089,0.02719478813914261,0.7621523496910282,1.6154186714103131,2.242232882860283,2.3355372241460873e-9
30,29,0,local_loglinear,30,29,0,2.6096228010153113,2.7152534316706003,1.2012406764343835,0.9408368615585062,0.05916313844149379,1.05415501227421,1.2264669156460886,0.8595054614407543,0.8601130614280935,0.8342173168598117,0.030569907193234186,0.7611809503640775,1.6386402796927975,2.2472941465739535,1.0187088860673365e-7
35,34,0,local_loglinear,28,27,7,2.6433877894561064,2.7492958128430938,1.210847680145295,0.9532611994118627,0.046738800588137286,1.054053242211352,1.2102829681479885,0.8709147116432582,0.8650809928324175,0.8445753784672174,0.023989145514146742,0.7630697796141533,1.5925830239608083,2.2374684981916193,1.9099185479690707e-10
35,34,0,local_loglinear,29,28,6,2.6274232123235763,2.73322528753249,1.206468729973193,0.947023721067825,0.05297627893217505,1.0541752745330137,1.2181618674839387,0.8653819354158309,0.8626469630554682,0.8394306256129245,0.0272816909810919,0.7621288466252101,1.6151413993087735,2.2423551385197875,2.510151217893226e-10
